시군구코드,업종코드,년도,업소일련번호,업종명,신고일자,업소명,영업장면적(㎡),소재지전화번호,영업자시작일,법인명,소재지시작일,행정동명,폐업일자,폐업사유,업태명,위생교육수료일자,객실수,한실수,양실수,의자수,욕실수,발한실,세탁기수,허가(신고)번호,비고,내외국인구분,국적,소재지도로명,소재지지번
cgg_code,snt_cob_code,yy,upso_sno,snt_cob_nm,upso_gsl_ymd,upso_nm,trdp_area,upso_site_telno,bman_stdt,bup_nm,site_stdt,admdng_nm,dcb_ymd,dcb_why,snt_uptae_nm,ed_fin_ymd,gaeksil,hanshil,yangsil,chair_num,yoksil,balhansil_yn,washmc_num,perm_nt_no,rem,kor_frgnr_gbn,ntn,site_addr_rd,site_addr
3030000,211,1964,00001,미용업(일반),19640512,선,11.00,0222928725,19970421,,19970421,왕십리도선동,,,일반미용업,,0,0,0,2,0,N,,3030000-211-1964-00001,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/11),내국인,,서울특별시 성동구 왕십리로22길 9, (도선동),서울특별시 성동구 도선동  141번지 0호  
3030000,211,1965,00001,미용업(일반),19650930,성림,22.23,0222948609,19970421,,20090629,사근동,20141226,재개발 영업장철거,일반미용업,,0,0,0,3,0,N,0,3030000-211-1965-00001,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/02),내국인,,서울특별시 성동구 왕십리로19길 11, (행당동,(지상1층)),서울특별시 성동구 행당동  130번지 48호  (지상1층)
3030000,211,1968,00001,미용업(일반),19681031,흙,14.12,0222948094,19980731,,19980731,행당제1동,,,일반미용업,,0,,,2,,N,,3030000-211-1968-00001,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/17),내국인,,서울특별시 성동구 고산자로6길 24, (행당동),서울특별시 성동구 행당동  117번지 43호  
3030000,211,1970,00001,미용업(일반),19700324,심's 가이,15.50,0222945777,20110627,,20090220,사근동,,,일반미용업,20120508,0,0,0,3,0,N,0,3030000-211-1970-00001,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/08),내국인,,서울특별시 성동구 사근동길 63, (사근동,1층),서울특별시 성동구 사근동  204번지 9호  1층
3030000,211,1970,00001,미용업(일반),19700324,심's 헤어,15.50,0222945777,20110627,,20090220,사근동,,,일반미용업,20120508,0,0,0,3,0,N,0,3030000-211-1970-00001,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/08),내국인,,서울특별시 성동구 사근동길 63, (사근동,1층),서울특별시 성동구 사근동  204번지 9호  1층
3030000,211,1970,00001,미용업(일반),19700324,헤어아뜨리아,15.50,0222945777,20110627,,20090220,사근동,,,일반미용업,20120508,0,0,0,3,0,N,0,3030000-211-1970-00001,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/08),내국인,,서울특별시 성동구 사근동길 63, (사근동,1층),서울특별시 성동구 사근동  204번지 9호  1층
3030000,211,1970,00001,미용업(일반),19700324,심's 가이,15.50,0222945777,20180628,,20090220,사근동,,,일반미용업,20180610,0,0,0,3,0,N,0,3030000-211-1970-00001,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/08),내국인,,서울특별시 성동구 사근동길 63, (사근동,1층),서울특별시 성동구 사근동  204번지 9호  1층
3030000,211,1970,00001,미용업(일반),19700324,심's 헤어,15.50,0222945777,20180628,,20090220,사근동,,,일반미용업,20180610,0,0,0,3,0,N,0,3030000-211-1970-00001,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/08),내국인,,서울특별시 성동구 사근동길 63, (사근동,1층),서울특별시 성동구 사근동  204번지 9호  1층
3030000,211,1970,00001,미용업(일반),19700324,헤어아뜨리아,15.50,0222945777,20180628,,20090220,사근동,,,일반미용업,20180610,0,0,0,3,0,N,0,3030000-211-1970-00001,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/08),내국인,,서울특별시 성동구 사근동길 63, (사근동,1층),서울특별시 성동구 사근동  204번지 9호  1층
3030000,211,1970,00002,미용업(일반),19700713,김용희헤어,10.78,02 4620789,20071228,,19981111,성수2가제3동,,,일반미용업,20080228,0,,,2,,N,,3030000-211-1970-00002,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/12),내국인,,서울특별시 성동구 아차산로7길 28, (성수동2가,뚝도시장내),서울특별시 성동구 성수동2가  289번지 4호  뚝도시장내
3030000,211,1971,00001,미용업(일반),19711201,아담,19.80,0222379452,20031208,,20011212,금호2.3가동,,,일반미용업,20040225,0,0,0,2,0,N,,3030000-211-1971-00001,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/02),내국인,,서울특별시 성동구 금호산2길 30-1, (금호동3가),서울특별시 성동구 금호동3가  339번지 2호  
3030000,211,1972,00001,미용업(일반),19720609,우리헤어,39.75,0222526827,19970422,,20090202,금호2.3가동,,,일반미용업,,0,0,0,4,0,N,0,3030000-211-1972-00001,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/02),내국인,,서울특별시 성동구 독서당로 319-2, (금호동3가,지상2층),서울특별시 성동구 금호동3가  220번지  지상2층
3030000,211,1973,00001,미용업(일반),19730223,광심,41.00,0222926111,19970421,,19970421,왕십리도선동,20180627,계약만료,일반미용업,,0,0,0,3,0,N,,3030000-211-1973-00001,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/06/28),내국인,,서울특별시 성동구 왕십리로 320-1, (도선동),서울특별시 성동구 도선동  48번지 0호  
3030000,211,1973,00002,미용업(일반),19730317,은경,17.10,02 4657624,19970422,,20070306,성수1가제1동,,,일반미용업,,0,0,0,2,0,N,,3030000-211-1973-00002,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/12),내국인,,서울특별시 성동구 왕십리로6길 37, (성수동1가,지상1층),서울특별시 성동구 성수동1가  656번지 1095호  지상1층
3030000,211,1973,00003,미용업(일반),19730129,소연,16.50,0222982681,19970422,,20030210,금호4가동,,,일반미용업,,0,,,3,,N,,3030000-211-1973-00003,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/12/05),내국인,,서울특별시 성동구 동호로2길 11, (금호동4가),서울특별시 성동구 금호동4가  1408번지 2호  
3030000,211,1974,00001,미용업(일반),19741029,모완,12.24,02 4653654,19970422,,19970422,송정동,,,일반미용업,,0,,,2,,N,,3030000-211-1974-00001,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/08),내국인,,서울특별시 성동구 광나루로11길 27, (송정동),서울특별시 성동구 송정동  73번지 591호  
3030000,211,1974,00001,미용업(일반),19741029,정머리방,12.24,02 4653654,19970422,,19970422,송정동,,,일반미용업,,0,,,2,,N,,3030000-211-1974-00001,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/08),내국인,,서울특별시 성동구 광나루로11길 27, (송정동),서울특별시 성동구 송정동  73번지 591호  
3030000,211,1974,00001,미용업(일반),19741029,모완,12.24,02 4653654,20171218,,19970422,송정동,,,일반미용업,20170517,0,,,2,,N,,3030000-211-1974-00001,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/08),내국인,,서울특별시 성동구 광나루로11길 27, (송정동),서울특별시 성동구 송정동  73번지 591호  
3030000,211,1974,00001,미용업(일반),19741029,정머리방,12.24,02 4653654,20171218,,19970422,송정동,,,일반미용업,20170517,0,,,2,,N,,3030000-211-1974-00001,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/08),내국인,,서울특별시 성동구 광나루로11길 27, (송정동),서울특별시 성동구 송정동  73번지 591호  
3030000,211,1975,00001,미용업(일반),19750802,춤추는 가위,26.00,02 4643538,20030819,,20140916,성수1가제1동,,,일반미용업,20030827,0,0,0,2,0,N,,3030000-211-1975-00001,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/04),내국인,,서울특별시 성동구 성수일로4길 2, 지상1층 (성수동1가),서울특별시 성동구 성수동1가  27번지 1호  
3030000,211,1975,00002,미용업(일반),19751113,경희,36.74,0222943927,20010820,,20081201,왕십리제2동,,,일반미용업,,0,0,0,3,0,N,,3030000-211-1975-00002,(업종변경:미용업에서 미용업(종합) 으로 변경됨:2008/10/20)(업종변경:미용업(종합)에서 미용업(일반) 으로 변경됨:2013/07/09),내국인,,서울특별시 성동구 왕십리로31나길 27, (하왕십리동,지상 1층),서울특별시 성동구 하왕십리동  890번지 107호  지상 1층
